dtto,municipio,secc,PAN_UDC,PRI_PVEM PNA_PPC,PRI_PNA PSD,PRI_PNA PPC,PRI,PRD,PT,PVEM,CONV,PNA,PSDC,PPC,CC1,VALIDOS,NULOS,TOTAL
04,SALTILLO,0790,260,0,0,0,961,20,13,15,4,3,2,1,3,1282,51,1333
04,SALTILLO,0791,222,0,0,0,495,12,7,11,4,7,2,1,4,765,21,786
04,SALTILLO,0792,192,0,0,0,743,16,12,20,7,3,0,0,0,993,25,1018
04,SALTILLO,0793,152,0,0,0,517,18,13,19,0,4,1,0,1,725,13,738
04,SALTILLO,0794,175,0,0,0,652,7,9,13,2,4,12,0,0,874,25,899
04,SALTILLO,0795,261,0,0,0,787,16,20,10,2,2,2,4,6,1110,28,1138
04,SALTILLO,0796,573,0,0,0,440,22,24,23,9,5,4,1,3,1104,53,1157
04,SALTILLO,0797,275,0,0,0,165,11,7,3,2,0,0,2,0,465,16,481
04,SALTILLO,0798,278,0,0,0,261,12,15,14,5,2,0,0,1,588,19,607
04,SALTILLO,0807,212,0,0,0,366,8,10,10,6,3,2,1,1,619,24,643
04,SALTILLO,0808,194,0,0,0,313,13,11,12,8,0,1,2,4,558,23,581
04,SALTILLO,0809,134,0,0,0,258,10,11,7,2,1,0,0,3,426,25,451
04,SALTILLO,0810,292,0,0,0,167,6,6,7,2,3,1,0,3,487,22,509
04,SALTILLO,0811,206,0,0,0,163,2,7,3,1,0,0,2,2,386,13,399
04,SALTILLO,0812,207,0,0,0,543,8,12,14,1,4,4,2,3,798,21,819
04,SALTILLO,0813,172,0,0,0,387,7,12,7,2,1,0,0,0,588,22,610
04,SALTILLO,0814,222,0,0,0,769,3,19,18,5,2,1,1,1,1041,19,1060
04,SALTILLO,0815,144,0,0,0,453,9,9,8,2,2,3,3,2,635,30,665
04,SALTILLO,0816,560,0,0,0,1564,52,42,39,6,7,3,2,0,2275,71,2346
04,SALTILLO,0817,210,0,0,0,965,9,14,19,3,4,5,0,0,1229,21,1250
04,SALTILLO,0818,120,0,0,0,698,5,12,11,0,4,3,0,0,853,28,881
04,SALTILLO,0819,170,0,0,0,584,15,13,0,2,0,0,1,0,785,17,802
04,SALTILLO,0820,198,0,0,0,459,5,15,7,2,3,3,1,0,693,14,707
04,SALTILLO,0821,164,0,0,0,382,6,8,9,1,0,2,3,6,581,20,601
04,SALTILLO,0822,138,0,0,0,395,6,11,10,1,3,0,0,0,564,10,574
04,SALTILLO,0823,154,0,0,0,342,8,18,6,2,4,0,1,2,537,7,544
04,SALTILLO,0824,104,0,0,0,297,7,5,3,3,3,11,0,1,434,16,450
04,SALTILLO,0825,104,0,0,0,398,9,13,5,3,2,5,2,1,542,18,560
04,SALTILLO,0826,141,0,0,0,225,4,6,9,6,0,1,1,5,398,21,419
04,SALTILLO,0827,229,0,0,0,200,11,11,6,1,6,4,2,1,471,20,491
04,SALTILLO,0828,179,0,0,0,411,9,13,19,2,2,1,2,0,638,17,655
04,SALTILLO,0841,134,0,0,0,224,9,8,12,13,4,1,0,0,405,18,423
04,SALTILLO,0842,118,0,0,0,190,11,10,9,1,4,0,0,0,343,9,352
04,SALTILLO,0843,165,0,0,0,237,9,10,6,1,3,1,0,3,435,16,451
04,SALTILLO,0844,143,0,0,0,172,7,5,9,2,2,1,0,1,342,11,353
04,SALTILLO,0845,130,0,0,0,192,5,5,2,1,4,3,0,2,344,20,364
04,SALTILLO,0846,146,0,0,0,227,8,8,6,3,0,2,0,3,403,16,419
04,SALTILLO,0847,294,0,0,0,338,5,16,12,3,13,2,1,4,688,32,720
04,SALTILLO,0848,206,0,0,0,240,9,13,0,2,0,0,0,0,470,18,488
04,SALTILLO,0849,62,0,0,0,210,11,7,1,2,0,1,0,2,296,9,305
