dtto,municipio,secc,PAN_UDC,PRI_PVEM_PNA_PPC,PRI_PNA_PSD,PRI_PNA_PPC,PRI,PRD,PT,PVEM,CONV,PNA,PSDC,PPC,CC1,VALIDOS,NULOS,TOTAL
11,FRONTERA,173,685,0,0,790,0,29,32,25,29,0,15,0,0,1605,56,1661
11,FRONTERA,174,639,0,0,987,0,42,43,23,30,0,8,0,0,1772,64,1836
11,FRONTERA,175,539,0,0,837,0,19,44,20,15,0,1,0,0,1475,39,1514
11,FRONTERA,176,346,0,0,547,0,17,25,13,5,0,11,0,0,964,15,979
11,FRONTERA,177,366,0,0,539,0,14,19,4,12,0,11,0,0,965,23,988
11,FRONTERA,178,302,0,0,549,0,20,17,2,7,0,4,0,0,901,13,914
11,FRONTERA,179,290,0,0,407,0,14,22,8,21,0,4,0,0,766,27,793
11,FRONTERA,180,273,0,0,460,0,11,16,12,8,0,3,0,0,783,23,806
11,FRONTERA,181,277,0,0,314,0,13,18,7,5,0,3,0,0,637,10,647
11,FRONTERA,182,207,0,0,286,0,18,7,2,11,0,1,0,0,532,18,550
11,FRONTERA,183,268,0,0,359,0,14,24,7,10,0,5,0,0,687,24,711
11,FRONTERA,184,258,0,0,358,0,7,10,4,12,0,1,0,0,650,14,664
11,FRONTERA,185,445,0,0,412,0,19,25,10,7,0,3,0,0,921,25,946
11,FRONTERA,186,282,0,0,270,0,23,12,6,4,0,6,0,0,603,6,609
11,FRONTERA,187,386,0,0,385,0,21,28,15,12,0,10,0,0,857,22,879
11,FRONTERA,188,303,0,0,362,0,18,39,3,12,0,1,0,0,738,27,765
11,FRONTERA,189,214,0,0,277,0,6,11,3,4,0,2,0,0,517,19,536
11,FRONTERA,190,282,0,0,281,0,13,12,3,15,0,5,0,0,611,17,628
11,FRONTERA,191,289,0,0,502,0,4,13,8,6,0,3,0,0,825,23,848
11,FRONTERA,192,376,0,0,618,0,8,16,10,8,0,5,0,0,1041,24,1065
11,FRONTERA,193,396,0,0,461,0,11,14,7,10,0,2,0,0,901,20,921
11,FRONTERA,194,172,0,0,219,0,7,7,1,5,0,1,0,0,412,27,439
11,FRONTERA,195,338,0,0,301,0,15,23,8,13,0,3,0,0,701,18,719
11,FRONTERA,196,207,0,0,255,0,8,10,15,19,0,5,0,0,519,13,532
11,FRONTERA,197,306,0,0,357,0,24,16,10,13,0,3,0,0,729,232,961
11,FRONTERA,198,354,0,0,491,0,12,10,5,7,0,3,0,0,882,21,903
11,FRONTERA,199,291,0,0,476,0,7,8,11,15,0,7,0,0,815,21,836
11,FRONTERA,200,323,0,0,454,0,10,18,9,31,0,0,0,0,845,21,866
11,FRONTERA,201,197,0,0,289,0,10,12,6,9,0,0,0,0,523,178,701
11,FRONTERA,202,253,0,0,409,0,11,5,5,46,0,1,0,0,730,16,746
11,FRONTERA,203,238,0,0,331,0,5,6,11,42,0,3,0,0,636,20,656
11,FRONTERA,204,267,0,0,428,0,3,4,12,11,0,2,0,0,727,16,743
11,FRONTERA,205,136,0,0,235,0,12,6,2,30,0,1,0,0,422,17,439
11,FRONTERA,206,262,0,0,411,0,7,11,9,15,0,1,0,0,716,16,732
11,FRONTERA,207,281,0,0,505,0,7,18,7,18,0,1,0,0,837,20,857
11,FRONTERA,208,264,0,0,551,0,11,18,5,18,0,6,0,0,873,28,901
11,FRONTERA,209,399,0,0,459,0,4,10,6,9,0,3,0,0,890,19,909
11,FRONTERA,210,279,0,0,456,0,7,12,8,10,0,3,0,0,775,32,807
11,FRONTERA,211,465,0,0,463,0,5,15,9,1,0,0,0,0,958,27,985
11,FRONTERA,212,327,0,0,463,0,2,14,5,2,0,0,0,0,813,17,830
11,FRONTERA,213,56,0,0,75,0,0,1,0,2,0,3,0,0,137,0,137
5,GENERAL CEPEDA,214,379,458,0,0,0,2,7,0,2,0,2,0,0,850,24,874
5,GENERAL CEPEDA,215,222,312,0,0,0,5,4,0,4,0,1,0,0,548,11,559
5,GENERAL CEPEDA,216,391,444,0,0,0,10,5,0,7,0,0,0,0,857,20,877
5,GENERAL CEPEDA,217,164,158,0,0,0,4,10,0,3,0,3,0,0,342,22,364
5,GENERAL CEPEDA,218,95,148,0,0,0,1,7,0,1,0,2,0,0,254,4,258
5,GENERAL CEPEDA,219,22,53,0,0,0,2,7,0,0,0,1,0,0,85,4,89
5,GENERAL CEPEDA,220,104,131,0,0,0,6,5,0,1,0,1,0,0,248,8,256
5,GENERAL CEPEDA,221,18,43,0,0,0,0,1,0,0,0,1,0,0,63,0,63
5,GENERAL CEPEDA,222,114,235,0,0,0,5,6,0,3,0,1,0,0,364,19,383
5,GENERAL CEPEDA,223,118,141,0,0,0,1,7,0,9,0,0,0,0,276,15,291
5,GENERAL CEPEDA,224,9,40,0,0,0,0,0,0,0,0,0,0,0,49,0,49
5,GENERAL CEPEDA,225,178,121,0,0,0,1,3,0,1,0,1,0,0,305,13,318
5,GENERAL CEPEDA,226,130,107,0,0,0,0,1,0,2,0,2,0,0,242,4,246
5,GENERAL CEPEDA,227,103,85,0,0,0,2,4,0,1,0,3,0,0,198,10,208
5,GENERAL CEPEDA,228,71,144,0,0,0,1,4,0,4,0,0,0,0,224,13,237
5,GENERAL CEPEDA,229,105,144,0,0,0,1,6,0,3,0,1,0,0,260,15,275
5,GENERAL CEPEDA,230,89,84,0,0,0,2,5,0,2,0,3,0,0,185,10,195
5,GENERAL CEPEDA,231,163,199,0,0,0,5,9,0,7,0,3,0,0,386,19,405
14,GUERRERO,233,70,0,265,0,0,0,1,1,1,0,0,0,0,338,11,349
14,GUERRERO,234,33,0,198,0,0,2,3,1,0,0,0,0,0,237,6,243
14,GUERRERO,235,25,0,144,0,0,2,0,0,1,0,0,0,0,172,3,175
14,GUERRERO,236,84,0,151,0,0,2,7,3,3,0,0,0,0,250,9,259
14,GUERRERO,237,52,0,108,0,0,1,4,0,4,0,0,0,0,169,2,171
14,HIDALGO,238,9,0,177,0,0,1,0,1,0,0,0,0,0,188,3,191
14,HIDALGO,239,47,0,491,0,0,1,1,1,0,0,0,0,0,541,2,543
15,JIMENEZ,240,25,0,0,0,205,3,1,4,1,1,0,2,5,247,12,259
15,JIMENEZ,241,25,0,0,0,305,2,3,6,0,0,2,0,0,343,7,350
15,JIMENEZ,242,159,0,0,0,752,6,5,8,3,0,1,3,0,937,29,966
15,JIMENEZ,243,165,0,0,0,354,9,9,1,2,2,1,10,40,593,14,607
15,JIMENEZ,244,93,0,0,0,321,2,5,5,2,0,2,9,0,439,17,456
15,JIMENEZ,245,281,0,0,0,670,11,8,4,0,5,2,4,29,1014,35,1049
15,JIMENEZ,246,316,0,0,0,467,20,7,3,1,2,4,2,1,823,30,853
15,JIMENEZ,247,36,0,0,0,39,2,0,0,1,0,0,1,1,80,1,81
15,JIMENEZ,248,10,0,0,0,131,1,1,0,1,0,0,1,1,146,3,149
15,JIMENEZ,249,92,0,0,0,331,5,5,5,1,1,3,3,0,446,20,466
14,JUAREZ,250,152,0,195,0,0,6,3,7,2,0,0,0,0,365,5,370
14,JUAREZ,251,89,0,112,0,0,4,2,9,0,0,0,0,0,216,1,217
14,JUAREZ,252,121,0,130,0,0,5,5,2,1,0,0,0,0,264,6,270
14,JUAREZ,253,23,0,45,0,0,2,0,3,1,0,0,0,0,74,3,77
14,JUAREZ,254,33,0,67,0,0,4,2,0,1,0,0,0,0,107,5,112
11,LAMADRID,255,271,0,0,260,0,3,12,4,6,0,2,0,0,558,19,577
11,LAMADRID,256,300,0,0,373,0,6,2,4,10,0,0,0,0,695,15,710
6,MATAMOROS,257,237,0,413,0,0,18,13,13,7,0,0,75,0,776,28,804
6,MATAMOROS,258,202,0,713,0,0,12,32,25,7,0,0,164,0,1155,32,1187
6,MATAMOROS,259,247,0,513,0,0,12,26,14,15,0,0,131,0,958,38,996
6,MATAMOROS,260,324,0,658,0,0,11,23,26,9,0,0,199,0,1250,33,1283
6,MATAMOROS,261,236,0,444,0,0,10,27,21,5,0,0,154,0,897,35,932
6,MATAMOROS,262,264,0,501,0,0,13,34,21,13,0,0,130,0,976,22,998
6,MATAMOROS,263,244,0,378,0,0,10,16,14,12,0,0,146,0,820,29,849
6,MATAMOROS,264,230,0,447,0,0,10,24,13,9,0,0,179,0,912,21,933
6,MATAMOROS,265,470,0,972,0,0,20,43,41,28,0,0,297,0,1871,45,1916
6,MATAMOROS,266,152,0,454,0,0,8,22,11,11,0,0,168,0,826,14,840
6,MATAMOROS,267,125,0,357,0,0,6,19,12,6,0,0,149,0,674,20,694
6,MATAMOROS,268,330,0,609,0,0,13,40,30,14,0,0,139,0,1175,40,1215
6,MATAMOROS,269,531,0,834,0,0,17,57,27,22,0,0,251,0,1739,57,1796
6,MATAMOROS,270,175,0,284,0,0,4,22,5,4,0,0,77,0,571,15,586
6,MATAMOROS,271,195,0,530,0,0,9,36,13,11,0,0,321,0,1115,36,1151
6,MATAMOROS,272,286,0,424,0,0,5,16,8,10,0,0,355,0,1104,47,1151
6,MATAMOROS,273,224,0,383,0,0,12,22,12,5,0,0,91,0,749,25,774
6,MATAMOROS,274,248,0,498,0,0,7,23,17,8,0,0,230,0,1031,52,1083
6,MATAMOROS,275,266,0,398,0,0,4,19,9,8,0,0,86,0,790,22,812
6,MATAMOROS,276,186,0,392,0,0,4,30,28,8,0,0,205,0,853,33,886
6,MATAMOROS,277,139,0,305,0,0,10,2,12,2,0,0,85,0,555,19,574
6,MATAMOROS,278,93,0,326,0,0,7,5,3,2,0,0,34,0,470,17,487
6,MATAMOROS,279,74,0,474,0,0,9,3,6,1,0,0,23,0,590,9,599
6,MATAMOROS,280,342,0,695,0,0,13,13,6,4,0,0,88,0,1161,51,1212
6,MATAMOROS,281,104,0,213,0,0,1,0,1,0,0,0,44,0,363,18,381
6,MATAMOROS,282,309,0,314,0,0,59,6,5,3,0,0,38,0,734,7,741
6,MATAMOROS,283,241,0,363,0,0,10,12,7,3,0,0,119,0,755,22,777
6,MATAMOROS,284,145,0,509,0,0,7,6,3,12,0,0,317,0,999,29,1028
6,MATAMOROS,285,107,0,461,0,0,6,8,5,6,0,0,184,0,777,23,800
6,MATAMOROS,286,129,0,485,0,0,8,8,4,12,0,0,268,0,914,20,934
6,MATAMOROS,287,89,0,555,0,0,7,9,7,4,0,0,374,0,1045,26,1071
6,MATAMOROS,288,205,0,660,0,0,12,9,4,9,0,0,317,0,1216,27,1243
6,MATAMOROS,289,205,0,360,0,0,14,8,4,5,0,0,17,0,613,16,629
6,MATAMOROS,290,321,0,538,0,0,16,16,3,7,0,0,177,0,1078,28,1106
6,MATAMOROS,291,202,0,754,0,0,11,4,3,7,0,0,58,0,1039,13,1052
6,MATAMOROS,292,173,0,289,0,0,5,3,3,3,0,0,50,0,526,11,537
6,MATAMOROS,293,148,0,499,0,0,11,6,3,3,0,0,164,0,834,12,846
6,MATAMOROS,294,185,0,336,0,0,29,10,3,3,0,0,127,0,693,17,710
6,MATAMOROS,295,50,0,193,0,0,7,3,1,3,0,0,129,0,386,9,395
6,MATAMOROS,296,121,0,386,0,0,6,10,5,3,0,0,95,0,626,16,642
6,MATAMOROS,297,375,0,547,0,0,46,12,6,2,0,0,101,0,1089,23,1112
6,MATAMOROS,298,161,0,355,0,0,30,7,8,2,0,0,55,0,618,18,636
6,MATAMOROS,299,74,0,183,0,0,3,8,1,1,0,0,53,0,323,17,340
6,MATAMOROS,300,75,0,163,0,0,5,1,3,1,0,0,99,0,347,9,356
6,MATAMOROS,301,124,0,131,0,0,2,23,10,1,0,0,55,0,346,22,368
