sep=|
20:11 horas (UTC-5)
lunes 8 de junio de 2015
ACTAS_CAPTURADAS|ACTAS_POR_CAPTURAR|PORCENTAJE_ACTAS_CAPTURADAS|ACTAS_CONTABILIZADAS|ACTAS_NO_CONTABILIZADAS|PARTICIPACION_CIUDADANA
1,512|831|64.53|1,498|14|53.836

ID_ESTADO|ESTADO|ID_DISTRITO|DISTRITO|SECCION|ID_CASILLA|TIPO_CASILLA|EXT_CONTIGUA|UBICACION_CASILLA|TIPO_ACTA|NUM_BOLETAS_SOBRANTES|TOTAL_CIUDADANOS_VOTARON|NUM_BOLETAS_EXTRAIDAS|PAN|PRI|PRD|PT|PVEM|MOVIMIENTO_CIUDADANO|NUEVA_ALIANZA|PSD|MORENA|ES|PH|C_PRI_PV|C_PRI_PANAL|C_PV_PANAL|C_PRI_PV_PANAL|C_PRD_PT|CAND_IND_1|NO_REGISTRADOS|NULOS|TOTAL_VOTOS|LISTA_NOMINAL|OBSERVACIONES|CONTABILIZADA|CRYT|SHA|HORA_ACOPIO|HORA_CAPTURA|HORA_REGISTRO
17|MORELOS|1|CUERNAVACA NORTE|215|1|S|0|1|13| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |0| | | | | | | |
17|MORELOS|1|CUERNAVACA NORTE|216|1|B|0|1|11| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |516| | | | | | | |
17|MORELOS|1|CUERNAVACA NORTE|216|1|C|0|1|11| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |516| | | | | | | |
17|MORELOS|1|CUERNAVACA NORTE|216|2|C|0|1|11|296|238|243|51|24|26|0|16|15|5|28|20|18|9|-|-|-|-|-|-|1|30|243|516| |1| |9dcb890c63f1c407a844aae38e9c0e1b9c88e93905c97392851f7da7d62a6c7c|2015-06-08 00:25:00.000|2015-06-08 00:26:37.366|2015-06-08 00:26:40.545|
17|MORELOS|1|CUERNAVACA NORTE|217|1|B|0|1|11|235|224|224|49|21|32|1|9|14|1|30|31|6|10|-|-|-|-|-|-|1|19|224|438| |1| |79ae57c9447172fcca73fa70628bea768d3e57a28091cfa9a18d2181433b62cf|2015-06-08 01:57:00.000|2015-06-08 01:45:29.776|2015-06-08 01:57:13.303|
17|MORELOS|1|CUERNAVACA NORTE|217|1|C|0|1|11| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |437| | | | | | | |
17|MORELOS|1|CUERNAVACA NORTE|218|1|B|0|1|11|231|196|200|49|27|14|2|6|11|6|16|28|7|11|-|-|-|-|-|-|1|22|200|410| |1| |e77554256e51e072bfaf2e19cd8421989969424177a09b7b9c949ca8baf32f3a|2015-06-08 01:01:00.000|2015-06-08 01:03:04.516|2015-06-08 01:03:06.365|
17|MORELOS|1|CUERNAVACA NORTE|218|1|C|0|1|11|218|212|212|42|20|16|3|10|14|6|25|24|10|13|-|-|-|-|-|-|1|28|212|409| |1| |a3c0b34f14d8d5dc7198ca7372032c955ae99d361d261ba073d6433ba0eca198|2015-06-07 23:26:00.000|2015-06-07 23:27:29.880|2015-06-07 23:27:33.071|
17|MORELOS|1|CUERNAVACA NORTE|231|1|B|0|1|11|210|259|268|37|36|32|4|3|10|1|97|20|4|7|-|-|-|-|-|-|2|17|270|457| |1| |2df0a273296ec5fa7125630204b7dd4575e00bebad1fa9147165388d78c04906|2015-06-08 01:19:00.000|2015-06-08 01:20:49.996|2015-06-08 01:20:52.031|
17|MORELOS|1|CUERNAVACA NORTE|231|1|C|0|1|11|218|249|256|31|36|33|2|13|26|4|41|23|18|8|-|-|-|-|-|-|Sin dato|21|256|457| |1| |e1baf685033a0772bbb34e174a3595703b6c045c636a3ee115c571f7d8065b7b|2015-06-08 03:48:00.000|2015-06-08 03:37:14.143|2015-06-08 03:48:59.194|
